# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Sat Feb 15 11:02:28 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.5, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00415 -0.56713 10.07188 0.8575496674 2.4373080910    0.856  0.371  3.7747  4.050    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.92e-13      0.00 8.075e-01 1.893e-01 5.760e-04 1.580e-04 1.440e-03 -1.000 3.266e-03 3.842 4.193 4.581 3.623
0.00415 -0.56713 10.07188 0.8622199297 2.4386915377    0.860  0.411  3.7670  3.982    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-14      0.00 7.921e-01 2.044e-01 6.176e-04 1.694e-04 1.543e-03 -1.000 3.537e-03 3.743 4.094 4.496 3.509
0.00415 -0.56713 10.07188 0.8652563691 2.4395817984    0.863  0.435  3.7571  3.920    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-14      0.00 7.779e-01 2.184e-01 6.524e-04 1.787e-04 1.627e-03 -1.000 3.680e-03 3.683 4.036 4.458 3.433
0.00415 -0.56713 10.07188 0.8671784997 2.4401416480    0.865  0.449  3.7470  3.866    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-14      0.00 7.688e-01 2.274e-01 6.733e-04 1.843e-04 1.676e-03 -1.000 3.784e-03 3.648 4.006 4.448 3.385
0.00415 -0.56713 10.07188 0.8688316941 2.4406208878    0.867  0.467  3.7362  3.806    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.61e-14      0.00 7.620e-01 2.341e-01 6.886e-04 1.883e-04 1.713e-03 -1.000 3.894e-03 3.603 3.970 4.433 3.328
0.00415 -0.56713 10.07188 0.8701434731 2.4409996660    0.868  0.496  3.7278  3.744    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.01e-14      0.00 7.575e-01 2.386e-01 6.984e-04 1.909e-04 1.736e-03 -1.000 3.963e-03 3.531 3.907 4.388 3.250
0.00415 -0.56713 10.07188 0.8712177873 2.4413088990    0.869  0.533  3.7221  3.685    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.77e-14      0.00 7.541e-01 2.419e-01 7.049e-04 1.927e-04 1.751e-03 -1.000 3.996e-03 3.438 3.821 4.313 3.154
0.00415 -0.56713 10.07188 0.8717402816 2.4414589781    0.870  0.555  3.7198  3.654    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.96e-14      0.00 7.525e-01 2.435e-01 7.077e-04 1.934e-04 1.758e-03 -1.000 3.978e-03 3.383 3.769 4.267 3.098
0.00415 -0.56713 10.07188 0.8723717332 2.4416400779    0.870  0.587  3.7176  3.613    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.506e-01 2.454e-01 7.106e-04 1.942e-04 1.765e-03 -1.000 3.993e-03 3.303 3.692 4.194 3.017
0.00415 -0.56713 10.07188 0.8731552362 2.4418643671    0.871  0.631  3.7152  3.560    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.482e-01 2.478e-01 7.136e-04 1.951e-04 1.773e-03 -1.000 4.054e-03 3.193 3.587 4.094 2.908
