name,columns,statistic_name,statistic,pval,is_normal
ngc 6401,7p,MC - Henze-Zirkler,13.909131803900591,0.0,False
ngc 6397,5p,MC - Henze-Zirkler,101.91143441996155,0.0,False
ngc 6397,3p,MC - Henze-Zirkler,295.0259492598504,0.0,False
ngc 6397,5p_color,MC - Henze-Zirkler,202.1287182543158,0.0,False
ngc 6397,7p,MC - Henze-Zirkler,75.90433730171365,0.0,False
ngc 6426,5p,Henze-Zirkler,27.678101945737524,0.0,False
ngc 6426,3p,Henze-Zirkler,77.9283736049903,9.233536272270488e-184,False
ngc 6426,5p_color,Henze-Zirkler,45.970585461518816,0.0,False
ngc 6426,7p,Henze-Zirkler,17.803096861747235,0.0,False
terzan 5,5p,Henze-Zirkler,3.053656619613985,2.4044826209649473e-57,False
terzan 5,3p,Henze-Zirkler,10.076898905233199,9.42562933455807e-42,False
terzan 5,5p_color,Henze-Zirkler,9.295056777884218,8.388000714806372e-196,False
terzan 5,7p,Henze-Zirkler,3.0923201968279246,3.9955959292308686e-231,False
ngc 6440,5p,Henze-Zirkler,18.61760930151101,0.0,False
ngc 6440,3p,Henze-Zirkler,66.41267423831974,2.0591773271936207e-287,False
ngc 6440,5p_color,Henze-Zirkler,79.18557960247178,0.0,False
ngc 6440,7p,Henze-Zirkler,24.28725735162474,0.0,False
ngc 6441,5p,MC - Henze-Zirkler,15.93185188921367,0.0,False
ngc 6441,3p,MC - Henze-Zirkler,76.24426812768783,0.0,False
ngc 6441,5p_color,MC - Henze-Zirkler,92.56135534041447,0.0,False
ngc 6441,7p,MC - Henze-Zirkler,21.815747173459187,0.0,False
terzan 6,5p,Henze-Zirkler,1.4253106721100848,1.9135876416676987e-09,False
terzan 6,3p,Henze-Zirkler,2.8289052093386013,1.0088744974629015e-11,False
terzan 6,5p_color,Henze-Zirkler,1.675023408847241,4.838844249832497e-14,False
terzan 6,7p,Henze-Zirkler,1.117641464613271,1.1186155140153693e-06,False
ngc 6453,5p,Henze-Zirkler,6.863044757462546,0.0,False
ngc 6453,3p,Henze-Zirkler,20.49271049288092,2.4973385754460927e-139,False
ngc 6453,5p_color,Henze-Zirkler,38.704023229657004,0.0,False
ngc 6453,7p,Henze-Zirkler,9.915314784340673,0.0,False
ngc 6496,5p,Henze-Zirkler,21.18229308863209,0.0,False
ngc 6496,3p,Henze-Zirkler,89.50910673271628,1.3884527862191122e-261,False
ngc 6496,5p_color,Henze-Zirkler,69.18111581454667,0.0,False
ngc 6496,7p,Henze-Zirkler,19.85391457815969,0.0,False
ngc 6517,5p,Henze-Zirkler,9.097308948210477,3.963452645591898e-266,False
ngc 6517,3p,Henze-Zirkler,51.44014052588367,1.4486324810506393e-131,False
ngc 6517,5p_color,Henze-Zirkler,21.690020969710574,0.0,False
ngc 6517,7p,Henze-Zirkler,6.117996791359321,0.0,False
